_组织编码,_组织名称,,flag
00190,自动测试000190,,
0019001,自动测试00019001,,
0019002,自动测试00019002,,
0019003,自动测试00019003,,
0019004,自动测试00019004,,
0019005,自动测试00019005,,
0019006,自动测试00019006,,
0019007,自动测试00019007,,
0019008,自动测试00019008,,
0019009,自动测试00019009,,
0019010,自动测试00019010,,
0019011,自动测试00019011,,
0019012,自动测试00019012,,
0019013,自动测试00019013,,
0019014,自动测试00019014,,
0019015,自动测试00019015,,
0019016,自动测试00019016,,
0019017,自动测试00019017,,
0019018,自动测试00019018,,
0019019,自动测试00019019,,
0019020,自动测试00019020,,
0019021,自动测试00019021,,
0019022,自动测试00019022,,
0019023,自动测试00019023,,
0019024,自动测试00019024,,
0019025,自动测试00019025,,
0019026,自动测试00019026,,
0019027,自动测试00019027,,
0019028,自动测试00019028,,
0019029,自动测试00019029,,
0019030,自动测试00019030,,
0019031,自动测试00019031,,
0019032,自动测试00019032,,
0019033,自动测试00019033,,
0019034,自动测试00019034,,
0019035,自动测试00019035,,
0019036,自动测试00019036,,
0019037,自动测试00019037,,
0019038,自动测试00019038,,
0019039,自动测试00019039,,
0019040,自动测试00019040,,
0019041,自动测试00019041,,
0019042,自动测试00019042,,
0019043,自动测试00019043,,
0019044,自动测试00019044,,
0019045,自动测试00019045,,
0019046,自动测试00019046,,
0019047,自动测试00019047,,
0019048,自动测试00019048,,
0019049,自动测试00019049,,
0019050,自动测试00019050,,
0019051,自动测试00019051,,
0019052,自动测试00019052,,
0019053,自动测试00019053,,
0019054,自动测试00019054,,
0019055,自动测试00019055,,
0019056,自动测试00019056,,
0019057,自动测试00019057,,
0019058,自动测试00019058,,
0019059,自动测试00019059,,
0019060,自动测试00019060,,
0019061,自动测试00019061,,
0019062,自动测试00019062,,
0019063,自动测试00019063,,
0019064,自动测试00019064,,
0019065,自动测试00019065,,
0019066,自动测试00019066,,
0019067,自动测试00019067,,
0019068,自动测试00019068,,
0019069,自动测试00019069,,
0019070,自动测试00019070,,
0019071,自动测试00019071,,
0019072,自动测试00019072,,
0019073,自动测试00019073,,
0019074,自动测试00019074,,
0019075,自动测试00019075,,
0019076,自动测试00019076,,
0019077,自动测试00019077,,
0019078,自动测试00019078,,
0019079,自动测试00019079,,
0019080,自动测试00019080,,
0019081,自动测试00019081,,
0019082,自动测试00019082,,
0019083,自动测试00019083,,
0019084,自动测试00019084,,
0019085,自动测试00019085,,
0019086,自动测试00019086,,
0019087,自动测试00019087,,
0019088,自动测试00019088,,
0019089,自动测试00019089,,
0019090,自动测试00019090,,
0019091,自动测试00019091,,
0019092,自动测试00019092,,
0019093,自动测试00019093,,
0019094,自动测试00019094,,
0019095,自动测试00019095,,
0019096,自动测试00019096,,
0019097,自动测试00019097,,
0019098,自动测试00019098,,
0019099,自动测试00019099,,
